,initial_radius,frequency,acoustic_pressure,temperature,density,viscosity,surface_tension,sound_velocity,vapor_pressure
15,3.878787878787879e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
16,4.070707070707071e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
17,4.2626262626262625e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
18,4.454545454545455e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
19,4.646464646464647e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
20,4.838383838383838e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
21,5.03030303030303e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
22,5.2222222222222226e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
23,5.414141414141415e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
24,5.606060606060606e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
25,5.797979797979798e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
26,5.9898989898989904e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
27,6.181818181818182e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
28,6.373737373737374e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
29,6.565656565656566e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
30,6.757575757575758e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
31,6.94949494949495e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
32,7.141414141414142e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
33,7.333333333333334e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
34,7.525252525252525e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
35,7.717171717171717e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
36,7.90909090909091e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
37,8.101010101010102e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
38,8.292929292929293e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
39,8.484848484848486e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
40,8.676767676767678e-06,1000000.0,1000000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
