,initial_radius,acoustic_pressure,frequency,temperature,density,viscosity,surface_tension,sound_velocity,vapor_pressure,RP_dynamical_threshold,RP_mach_number,RP_near_zero,RP_max_velocity,RP_critical_transition,KM_dynamical_threshold,KM_mach_number,KM_near_zero,KM_max_velocity,KM_critical_transition,G_dynamical_threshold,G_mach_number,G_near_zero,G_max_velocity,G_critical_transition,critical_maximum,RP_expansion_radius,KM_expansion_radius,G_expansion_radius,RP_acoustic_emissions,KM_acoustic_emissions,G_acoustic_emissions,count
9288,5.222222222222223e-06,2688888.888888889,1780000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",0.9541964631704066,"(2.0190345254394226, 8.61120003148328)",0,1,"(False, False)",-0.3410116275641461,"(0.6068822625935858, 3.8421808535799427)",0,1,"(False, False)",-2.329774992234897,"(0.777195519372517, 3.5135445366212017)",14.030820827840511,1,1,1,0,0,0,5
9289,5.222222222222223e-06,2688888.888888889,2000000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",0.8119275032209123,"(1.5403639256750543, 5.911107525409721)",0,1,"(False, False)",-0.8001038362635071,"(0.6454549329505807, 4.10633633741922)",0,1,"(False, False)",-2.237454502636319,"(0.8504883522918358, 3.0756210401018707)",14.030820827840511,1,1,1,0,1,0,6
9290,5.222222222222223e-06,3000000.0,20000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,0,"(False, False)",19.25195638166544,"(213.00482168054663, 213.00482168054663)",1,0,"(False, False)",3.404849414813623,"(524238.3408230513, 2.854466684593524)",1,0,"(False, False)",238.2755527457769,"(4.5001802844786793e+107, None)",14.030820827840511,0,0,0,0,0,1,4
9291,5.222222222222223e-06,3000000.0,240000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,0,"(False, False)",13.876045434544396,"(125.63857340236302, None)",0,0,"(False, False)",1.0240678270496408,"(-1, 18.728827341215464)",0,1,"(False, False)",-1.2172923768289377,"(-1, 18.906145708433577)",14.030820827840511,0,0,0,1,0,0,3
9292,5.222222222222223e-06,3000000.0,460000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",8.317039936475899,"(-1, 9.714604042256086)",0,0,"(False, False)",0.4534566533048281,"(-1, 10.0670086769336)",0,1,"(False, False)",-1.3370563614588498,"(0.7359297222268839, 10.0960642066025)",14.030820827840511,1,1,1,0,0,0,4
9293,5.222222222222223e-06,3000000.0,680000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",3.773428169516152,"(-1, 6.74236169779963)",0,0,"(False, False)",0.6344160152684212,"(4.124291156238376, 7.70390675589752)",0,1,"(False, False)",-1.1513180569853734,"(4.194550182361226, 7.824105284878233)",14.030820827840511,1,1,1,0,0,0,4
9294,5.222222222222223e-06,3000000.0,900000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,0,"(False, False)",4.580269186626626,"(6.9895805240177, 6.9895805240177)",0,0,"(False, False)",0.6201168916650864,"(-1, 6.520514512882925)",0,1,"(False, False)",-1.2337813156652284,"(0.7114289432286679, 5.20791669559705)",14.030820827840511,1,1,1,0,0,0,5
9295,5.222222222222223e-06,3000000.0,1120000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",3.381620863508453,"(-1, 4.417292736849333)",0,0,"(False, False)",0.4393283886345847,"(2.4331761763892357, 5.525612181373665)",0,1,"(False, False)",-1.245977192946831,"(0.6682666423126012, 4.92376116685845)",14.030820827840511,1,1,1,0,0,0,4
9296,5.222222222222223e-06,3000000.0,1340000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,0,"(False, False)",1.9220391764746017,"(1.958839437298429, 9.143734388037856)",0,0,"(False, False)",0.2275062667464911,"(0.8100756668436591, 4.543863168748735)",0,1,"(False, False)",-1.6257341043672426,"(0.6857919206800273, 4.428978572630612)",14.030820827840511,1,1,1,0,0,0,5
9297,5.222222222222223e-06,3000000.0,1560000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",2.1534670987250437,"(-1, 9.633590756162748)",0,1,"(False, False)",-0.1284824948419633,"(1.3293648702224656, 3.961510662105594)",0,1,"(False, False)",-1.8233262644059511,"(0.768324214638991, 3.7907484394517406)",14.030820827840511,1,1,1,0,0,0,5
